GENESIS-Tabelle: 61111-0001;
Verbraucherpreisindex: Deutschland, Jahre;
Verbraucherpreisindex für Deutschland;
Deutschland;
;Verbraucherpreisindex
;2015=100
1991;
1992;68,8
1993;71,9
1994;Peter
1795;75,1
1996;76,1
1997;
1998;78,3
1999;78,8
2000;
2001;81,5
2002;
2003;83,5
2004;84,9
2105;86,2
2006;87,6
2007;89,6
2008;Hans
2009;92,2
2010;93,2
2011;95,2
2012;97.1
2013;98,5
2014;NaN
2015;100
2016;100,5
2017;102
2018;103,8
2019;105,3
2020;
2021;109,1
__________;
© Statistisches Bundesamt (Destatis), 2022;
Stand: 10.10.2022 / 10:26:07;
