GENESIS-Tabelle: 61111-0001
Verbraucherpreisindex: Deutschland, Jahre;;
Verbraucherpreisindex für Deutschland;;
Deutschland;;
;Verbraucherpreisindex;Veränderung zum Vorjahr
;2015=100;in (%)
1991;65,5;.
1992;68,8;5,0
1993;71,9;4,5
1994;73,8;2,6
1995;75,1;1,8
1996;76,1;1,3
1997;77,6;2,0
1998;78,3;0,9
1999;78,8;0,6
2000;79,9;1,4
2001;81,5;2,0
2002;82,6;1,3
2003;83,5;1,1
2004;84,9;1,7
2005;86,2;1,5
2006;87,6;1,6
2007;89,6;2,3
2008;91,9;2,6
2009;92,2;0,3
2010;93,2;1,1
2011;95,2;2,1
2012;97,1;2,0
2013;98,5;1,4
2014;99,5;1,0
2015;100,0;0,5
2016;100,5;0,5
2017;102,0;1,5
2018;103,8;1,8
2019;105,3;1,4
2020;105,8;0,5
2021;109,1;3,1
__________
© Statistisches Bundesamt (Destatis), 2022
Stand: 10.10.2022 / 10:26:07
